FCH60MA;"X12 FLAN CHOCOLATE ""MAROLIO"" X 60GR";3;0.72
FDL60MA;"X12 FLAN DULCE DE LECHE ""MAROLIO"" X60 GR";3;0.72
FV16MA;"X12 FLAN VAINILLA LIGHT ""MAROLIO"" X 16G";3;0.19
FV60MA;"X12 FLAN VAINILLA ""MAROLIO"" X 60GR";3;0.72
GA40MA;"X 12 GELATINA ANANA ""MAROLIO"" X 40 GR";3;0.48
GC40MA;"X 12 GELATINA CEREZA ""MAROLIO"" X 40 GR";3;0.48
GDC25MA;"X 12 GEL. DIET CEREZA ""MAROLIO"" X 25 GR.";3;0.3
GDF25MA;"X 12 GEL. DIET FRUTILLA ""MAROLIO"" X 25 GR.";3;0.3
GF40MA;"X 12 GELATINA FRUTILLA ""MAROLIO"" X 40 GR";3;0.48
GFRA40MA;"X 12 GELATINA FRAMBUESA ""MAROLIO"" X 40 GR";3;0.48
BCH540CA;"X6 BIZC. CHOCOLATE ""CARREFOUR"" CLASSIC X540G";4;3.24
BN540CA;"X6 BIZC. NARANJA ""CARREFOUR"" CLASSIC X540G";4;3.24
BV540CA;"X6 BIZC. VAINILLA ""CARREFOUR""  CLASSIC X540G";4;3.24
BW425CA;"X6 BROWNIE ""CARREFOUR""  CLASSIC X 425G";4;2.55
