NULL;FCC A 0004-00003394;GC40;20;105062.4
NULL;FCC A 0004-00003394;GN40;6;31518.72
NULL;FC A 0002-00038690;GC40;20;105062.4
NULL;FC A 0002-00038690;GN40;10;52531.2
NULL;FCC A 0004-00003393;GC1;90;296796.15
NULL;FCC A 0004-00003394;BV540;90;517104
NULL;FCC A 0004-00003394;GFRA40;20;109987.2
NULL;FC A 0002-00038690;GFRA40;20;109987.2
NULL;FCC A 0004-00003396;GSSR;10;90288
NULL;FCC A 0004-00003396;FV60;24;92586.24
NULL;FCC A 0004-00003396;GDM25;10;57456
NULL;FCC A 0004-00003396;BCH540;30;221616
NULL;FCC A 0004-00003394;GA40;10;52531.2
NULL;FC A 0002-00038690;GA40;10;52531.2
NULL;FCC A 0004-00003396;GDF25;10;52531.2
NULL;NCM A 0004-00000818;PCH90;-1;-5909.76
NULL;FCC A 0004-00003400;GFRA40MA;60;223808.83
NULL;FCC A 0004-00003398;BCH540MA;100;507034.08
NULL;FCC A 0004-00003398;BV540MA;30;115893.5
NULL;FCC A 0004-00003398;BV540MA;100;386311.68
NULL;FCC A 0004-00003398;BV540MA;190;733992.2
NULL;FCC A 0004-00003398;BV540MA;13;50220.52
NULL;FCC A 0004-00003398;BV540MA;17;65672.98
NULL;FCC A 0004-00003398;BL540MA;30;130380.19
NULL;FCC A 0004-00003398;BL540MA;30;130380.19
NULL;FC A 0002-00038702;GSSR;10;69076.8
NULL;FCC A 0004-00003407;PV90;30;86184
NULL;FCC A 0004-00003398;BN540MA;30;115893.51
NULL;FCC A 0004-00003398;BN540MA;10;38631.17
NULL;FCC A 0004-00003403;GF5;15;180231.78
NULL;FCC A 0004-00003403;PV5;12;77367.79
NULL;FCC A 0004-00003403;FCH5;4;56267.48
NULL;FCC A 0004-00003403;FDL5;5;60809.91
NULL;FCC A 0004-00003403;FV5;8;89090.17
NULL;FCC A 0004-00003400;FCH60MA;60;255091.68
NULL;FC A 0002-00038702;GA40;25;99630
NULL;FCC A 0004-00003403;GA5;4;48061.81
NULL;FCC A 0004-00003403;A I;150;114293.32
NULL;FCC A 0004-00003403;BV5;8;46889.57
NULL;FCC A 0004-00003403;A I;100;76195.55
NULL;FCC A 0004-00003397;BW425MA;20;106235.71
NULL;FCC A 0004-00003397;BCH540MA;70;354923.86
NULL;FCC A 0004-00003397;BV540MA;210;811254.53
NULL;FCC A 0004-00003397;BV540MA;50;193155.84
NULL;FCC A 0004-00003410;GDM25;10;57456
NULL;FCC A 0004-00003407;MCH100;5;65664
NULL;FCC A 0004-00003410;BV540;30;172368
NULL;FCC A 0004-00003410;MCH100;5;65664
NULL;FCC A 0004-00003410;PCH90;10;59097.6
NULL;FCC A 0004-00003410;GA40;20;105062.4
NULL;FCC A 0004-00003410;BCH540;45;332424
NULL;FCC A 0004-00003410;GF40;20;105062.4
NULL;FCC A 0004-00003410;GC40;20;105062.4
NULL;FCC A 0004-00003410;GN40;20;105062.4
NULL;FCC A 0004-00003407;GSSR;30;270864
NULL;FCC A 0004-00003407;GDM25;10;57456
NULL;FCC A 0004-00003407;BCH540;3;22161.6
NULL;FCC A 0004-00003407;GC40;10;52531.2
NULL;FCC A 0004-00003407;GN40;5;26265.6
NULL;FCC A 0004-00003407;BCH540;12;88646.4
NULL;FCC A 0004-00003410;GSSR;10;90288
NULL;FCC A 0004-00003399;FV60MA;2;5196.31
NULL;FCC A 0004-00003399;GFRA40MA;80;298411.78
NULL;FCC A 0004-00003399;FV60MA;178;462471.77
NULL;FCC A 0004-00003401;BL540;22;106235.71
NULL;FCC A 0004-00003401;BV540;30;128770.56
NULL;FCC A 0004-00003399;CD180MA;20;105209.28
NULL;FCC A 0004-00003399;GA40MA;57;204440.76
NULL;FCC A 0004-00003399;GA40MA;13;46626.84
NULL;FCC A 0004-00003401;BW425;8;47215.87
NULL;FCC A 0004-00003401;BCH540;20;112674.24
NULL;FCC A 0004-00003401;BN540;10;42923.52
NULL;FCC A 0004-00003405;PV90;97;263180.4
NULL;FCC A 0004-00003405;TCH500;30;197676
NULL;FCC A 0004-00003405;PV90;78;211629.6
NULL;FCC A 0004-00003406;FV1;80;251256
NULL;FCC A 0004-00003406;GFRA1;45;148398.07
NULL;FCC A 0004-00003409;PV90;20;57456
